Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Safety Stock,EOQ,Inventory Cost,Forecasted Demand,Required Order Quantity,Reorder Point
cosmetics,SKU17,81.46253437,82,126,2629.396435,Female,45,17,85,9,Carrier C,3.585418958,Supplier 1,Chennai,7,453,16,47.67968037,Fail,0.102020755,Air,Route C,670.9343908,2031.096585400047,70.9929573971954,10510.447713986212,126.0,2112.096585400047,4173.096585400047
haircare,SKU18,36.44362777,23,620,9364.673505,Unknown,10,10,46,8,Carrier C,4.339224714,Supplier 2,Kolkata,18,374,17,27.10798085,Pending,2.231939111,Sea,Route A,593.4802587,1557.7799699692794,157.48015748023622,8576.300637247577,620.0,2167.7799699692796,7757.77996996928
skincare,SKU19,51.12387009,100,187,2553.495585,Unknown,48,11,94,3,Carrier A,4.742635883,Supplier 4,Chennai,20,694,16,82.37332059,Fail,3.646450865,Road,Route C,477.3076311,1633.8134160060129,86.48699324175861,8601.502046238857,187.0,1772.8134160060129,3690.8134160060126
skincare,SKU20,96.34107244,22,320,8128.027697,Unknown,27,12,68,6,Carrier A,8.878334651,Supplier 1,Chennai,29,309,6,65.68625961,Pass,4.231416574,Air,Route B,493.8712153,1706.4624583637888,113.13708498984761,9097.997716768183,320.0,1999.4624583637888,5546.462458363789
cosmetics,SKU21,84.89386898,60,601,7087.052696,Unknown,69,25,7,6,Carrier B,6.037883769,Supplier 5,Chennai,19,791,4,61.73572895,Pending,0.018607568,Air,Route C,523.3609147,2463.0663992458103,155.04837954651444,13090.573893961624,601.0,2995.0663992458103,17488.06639924581
haircare,SKU22,27.67978089,55,884,2390.807867,Unknown,71,1,63,10,Carrier A,9.567648921,Supplier 4,Kolkata,22,780,28,50.12083961,Fail,2.591275473,Rail,Route C,205.5719958,492.61327984916204,188.04254837669055,3403.279141129263,884.0,1305.6132798491622,1376.6132798491622
cosmetics,SKU23,4.324341186,30,391,8858.367571,Unknown,84,5,29,7,Carrier A,2.924857601,Supplier 5,Kolkata,11,568,29,98.60995724,Pending,1.342291563,Rail,Route A,196.3294461,1101.5167803618538,125.05998560690786,6132.883829843809,391.0,1408.5167803618538,3056.5167803618538
haircare,SKU24,4.156308359,32,209,9049.077861,Male,4,26,2,8,Carrier C,9.741291689,Supplier 2,Bangalore,28,447,3,40.3823597,Pending,3.691310293,Air,Route A,758.7247726,2511.8447266058206,91.43303560529968,13016.388811055602,209.0,2716.8447266058206,7945.844726605821
haircare,SKU25,39.62934399,73,142,2174.777054,Male,82,11,52,3,Carrier C,2.231073681,Supplier 4,Kolkata,19,934,23,78.28038312,Pending,3.797231217,Road,Route B,458.5359457,1633.8134160060129,75.3657747256671,8545.8959536584,142.0,1693.8134160060129,3195.8134160060126
haircare,SKU26,97.44694662,9,353,3716.493326,Male,59,16,48,4,Carrier B,6.507548621,Supplier 2,Bangalore,26,171,4,15.97222976,Pass,2.119319737,Rail,Route A,617.8669165,1970.4531193966482,118.82760622010359,10446.403628083759,353.0,2264.453119396648,7618.453119396649
cosmetics,SKU27,92.55736081,42,352,2686.457224,Unknown,47,9,62,8,Carrier C,7.406750953,Supplier 5,Mumbai,25,291,4,10.52824507,Fail,2.864667838,Sea,Route B,762.4591822,1477.839839547486,118.65917579353061,7982.495076705083,352.0,1782.839839547486,4645.839839547486
cosmetics,SKU28,2.397274706,12,394,6117.324615,Female,48,15,24,4,Carrier B,9.898140508,Supplier 1,Mumbai,13,171,7,59.42938181,Fail,0.815757079,Air,Route A,123.4370275,1907.8830289764182,125.53883861180172,10167.1093379411,394.0,2253.8830289764182,7817.883028976418
cosmetics,SKU29,63.44755919,3,253,8318.903195,Female,45,5,67,7,Carrier B,8.100973145,Supplier 1,Kolkata,16,329,7,39.29287559,Pass,3.878098937,Road,Route B,764.9353759,1101.5167803618538,100.59821071967433,6010.57495540764,253.0,1309.5167803618538,2366.5167803618538
haircare,SKU30,8.022859211,10,327,2766.342367,Male,60,26,35,7,Carrier B,8.954528315,Supplier 4,Kolkata,27,806,30,51.6348934,Pending,0.965394705,Road,Route C,880.0809882,2511.8447266058206,114.36782764396638,13131.062771248933,327.0,2778.8447266058206,11013.844726605821
skincare,SKU31,50.84739305,28,168,9655.135103,Male,6,17,44,4,Carrier B,2.679660965,Supplier 3,Chennai,24,461,8,60.25114566,Pending,2.989000007,Rail,Route C,609.3792066,2031.096585400047,81.97560612767678,10565.360957638619,168.0,2193.096585400047,4887.096585400047
skincare,SKU32,79.20993602,43,781,9571.550487,Unknown,89,13,64,4,Carrier C,6.599104901,Supplier 3,Kolkata,30,737,7,29.69246715,Pass,1.946036119,Road,Route A,761.1739095,1776.1424394706453,176.7484087622856,9764.454241164654,781.0,2468.1424394706455,11929.142439470645
cosmetics,SKU33,64.795435,63,616,5149.99835,Non-binary,4,17,95,9,Carrier C,4.858270503,Supplier 5,Chennai,1,251,23,23.85342751,Fail,3.541046012,Sea,Route A,371.2552955,2031.096585400047,156.97133496278866,10940.33960181418,616.0,2643.096585400047,12503.096585400046
skincare,SKU34,37.46759233,96,602,9061.710896,Unknown,1,26,21,7,Carrier A,1.019487571,Supplier 1,Chennai,4,452,10,10.75427282,Pass,0.646604559,Road,Route B,510.3580004,2511.8447266058206,155.1773179301666,13335.110222679936,602.0,3112.8447266058206,18163.84472660582
cosmetics,SKU35,84.95778682,11,449,6541.329345,Female,42,27,85,8,Carrier C,5.28818999,Supplier 1,Delhi,3,367,2,58.00478704,Pass,0.541154098,Sea,Route C,553.4204712,2559.6936875456836,134.01492454200763,13468.543060438456,449.0,2966.6936875456836,14682.693687545683
skincare,SKU36,9.813002579,34,963,7573.402458,Female,18,23,28,3,Carrier B,2.107951267,Supplier 2,Delhi,26,671,19,45.53136424,Fail,3.805533379,Air,Route C,403.8089742,2362.490296303082,196.2651268055535,12793.777115543176,963.0,3307.490296303082,24511.490296303084
skincare,SKU37,23.39984475,5,963,2438.33993,Female,25,8,21,9,Carrier A,1.532655274,Supplier 3,Kolkata,24,867,15,34.34327747,Pending,2.610288085,Sea,Route A,183.932968,1393.3207627355557,196.2651268055535,7947.9294477055455,963.0,2331.320762735556,9097.320762735555
cosmetics,SKU38,52.07593068,75,705,9692.31804,Non-binary,69,1,88,5,Carrier B,9.235931437,Supplier 5,Mumbai,10,841,12,5.930693646,Pending,0.613326899,Air,Route B,339.6728699,492.61327984916204,167.92855623746667,3302.709180433143,705.0,1128.6132798491622,1197.6132798491622
skincare,SKU39,19.12747727,26,176,1912.465663,Female,78,29,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,30,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946,2652.803698170808,83.90470785361212,13683.542030122102,176.0,2750.803698170808,7756.803698170808
skincare,SKU40,80.54142417,97,933,5724.95935,Female,90,20,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724,2203.0335607237075,193.183850256692,11981.087054901996,933.0,3046.0335607237075,20863.033560723707
skincare,SKU41,99.11329162,35,556,5521.205259,Female,64,19,38,8,Carrier B,5.773263744,Supplier 4,Chennai,18,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711,2147.251505108619,149.13081505845798,11481.911600835385,556.0,2639.251505108619,12711.25150510862
skincare,SKU42,46.52916761,98,155,1839.609426,Female,22,27,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,26,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205,2559.6936875456836,78.74007874011811,13192.16883142901,155.0,2692.6936875456836,6744.693687545683
haircare,SKU43,11.74327178,6,598,5737.425599,Unknown,36,29,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,1,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198,2652.803698170808,154.66091943344964,14037.323088021287,598.0,3214.803698170808,19994.803698170806
cosmetics,SKU44,51.35579091,34,919,7152.286049,Female,13,19,72,6,Carrier C,7.577449657,Supplier 2,Delhi,7,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696,2147.251505108619,191.72897537930984,11694.902402439644,919.0,3053.251505108619,19608.25150510862
haircare,SKU45,33.78413803,1,24,5267.956808,Male,93,7,52,6,Carrier B,5.215155009,Supplier 2,Chennai,25,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697,1303.3322310087485,30.983866769659336,6671.580488892039,24.0,1234.3322310087485,1471.3322310087485
haircare,SKU46,27.0822072,75,859,2556.767361,Non-binary,92,29,6,8,Carrier B,4.070955837,Supplier 3,Chennai,18,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371,2652.803698170808,185.36450577173613,14190.841019712718,859.0,3419.803698170808,27563.803698170806
skincare,SKU47,95.71213588,93,910,7089.47425,Male,4,15,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,10,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551,1907.8830289764182,190.78784028338913,10493.354346299036,910.0,2813.8830289764182,15557.88302897642
haircare,SKU48,76.03554443,28,29,7397.071005,Non-binary,30,16,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,9,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914,1970.4531193966482,34.058772731852805,10022.559460642504,29.0,1969.4531193966482,2434.453119396648
cosmetics,SKU49,78.89791321,19,99,8001.613207,Unknown,97,24,9,6,Carrier C,2.505621033,Supplier 5,Delhi,28,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685,2413.302352298603,62.928530890209096,12381.154415944062,99.0,2415.302352298603,4789.302352298603
cosmetics,SKU50,14.20348426,91,633,5910.88539,Female,31,23,82,10,Carrier A,6.247860915,Supplier 2,Delhi,20,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503,2362.490296303082,159.1225942473287,12608.06445275205,633.0,2964.490296303082,16921.490296303084
haircare,SKU51,26.70076097,61,154,9866.465458,Male,100,4,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,18,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176,985.2265596983241,78.48566748139433,5318.561135898592,154.0,1039.226559698324,1601.226559698324
skincare,SKU52,98.03182966,1,820,9435.762609,Male,64,11,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,10,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988,1633.8134160060129,181.10770276274835,9074.605593843808,820.0,2389.8134160060126,10653.813416006013
skincare,SKU53,30.34147071,93,242,8232.334829,Male,96,25,54,3,Carrier B,1.013486566,Supplier 1,Delhi,1,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407,2463.0663992458103,98.38699100999075,12807.266951279005,242.0,2609.0663992458103,8513.06639924581
haircare,SKU54,31.14624316,11,622,6088.02148,Non-binary,33,22,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,26,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966,2310.561091302819,157.73395322504282,12341.475222639308,622.0,2899.561091302819,15994.56109130282
haircare,SKU55,79.85505834,16,701,2925.67517,Male,97,11,11,5,Carrier A,5.014364955,Supplier 2,Delhi,27,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928,1633.8134160060129,167.45148551147582,9006.324507587444,701.0,2237.8134160060126,9344.813416006013
skincare,SKU56,20.98638604,90,93,4767.020484,Non-binary,25,23,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,24,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087,2362.490296303082,60.991802727907626,12117.410495154947,93.0,2430.490296303082,4501.490296303082
haircare,SKU57,49.26320535,65,227,1605.8669,Unknown,5,18,51,1,Carrier B,9.160558535,Supplier 2,Delhi,21,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386,2089.9811441033335,95.28903399657277,10926.35089049953,227.0,2311.9811441033335,6175.9811441033335
skincare,SKU58,59.84156138,81,896,2021.14981,Non-binary,10,5,44,7,Carrier A,4.938438565,Supplier 3,Delhi,18,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352,1101.5167803618538,189.31455305918772,6454.156667105208,896.0,1987.5167803618538,5581.516780361853
cosmetics,SKU59,63.82839835,30,484,1061.618523,Non-binary,100,16,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,11,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736,1970.4531193966482,139.1402170474087,10547.966682220285,484.0,2354.453119396648,9714.453119396649
skincare,SKU60,17.02802792,16,380,8864.08435,Female,41,27,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,29,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097,2559.6936875456836,123.28828005937953,13414.909838025316,380.0,2898.6936875456836,12819.693687545683
haircare,SKU61,52.0287499,23,117,6885.589351,Unknown,32,23,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,14,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282,2362.490296303082,68.41052550594829,12154.50410904515,117.0,2447.490296303082,5053.490296303082
cosmetics,SKU62,72.79635396,89,270,3899.746834,Unknown,86,2,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,13,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158,696.6603813677779,103.92304845413264,4002.917149109552,270.0,880.6603813677779,1236.660381367778
skincare,SKU63,13.01737679,55,246,4256.949141,Non-binary,54,19,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,18,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779,2147.251505108619,99.19677414109796,11232.241396248586,246.0,2339.251505108619,6821.251505108619
skincare,SKU64,89.63409561,11,134,8458.730878,Female,73,27,75,6,Carrier C,4.585353468,Supplier 1,Delhi,17,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847,2559.6936875456836,73.2120208708925,13164.528542082879,134.0,2620.6936875456836,6177.693687545683
skincare,SKU65,33.69771721,72,457,8354.579686,Male,57,24,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,16,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037,2413.302352298603,135.20355024924456,12742.529512739238,457.0,2813.302352298603,13381.302352298604
skincare,SKU66,26.03486977,52,704,8367.721618,Female,13,17,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,24,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486,2031.096585400047,167.80941570722425,10994.530005536357,704.0,2722.096585400047,13999.096585400046
skincare,SKU67,87.75543235,16,513,9473.798033,Unknown,12,9,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,10,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014,1477.839839547486,143.24803663575986,8105.439380916229,513.0,1978.839839547486,6094.839839547486
haircare,SKU68,37.93181238,29,163,3550.218433,Non-binary,0,8,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,2,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031,1393.3207627355557,80.7465169527454,7370.3363984415055,163.0,1556.3207627355557,2697.320762735556
skincare,SKU69,54.86552852,62,511,1752.381087,Non-binary,95,1,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,9,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062,492.61327984916204,142.96852800529214,3177.909039272271,511.0,908.613279849162,1003.613279849162
haircare,SKU70,47.91454182,90,32,7014.887987,Female,10,12,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,22,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987,1706.4624583637888,35.77708763999664,8711.197730018928,32.0,1728.4624583637888,2090.4624583637888
cosmetics,SKU71,6.381533163,14,637,8180.337085,Female,76,2,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,2,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679,696.6603813677779,159.62455951387932,4281.424704408286,637.0,1257.660381367778,1970.660381367778
cosmetics,SKU72,90.20442752,88,478,2633.121981,Non-binary,57,29,77,9,Carrier A,6.59961416,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698,2652.803698170808,138.27508813954884,13955.393931551784,478.0,3073.803698170808,16514.803698170806
cosmetics,SKU73,83.85101768,41,375,7910.886916,Male,17,25,66,5,Carrier B,1.512936837,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001,2463.0663992458103,122.47448713915891,12927.704431924845,375.0,2821.0663992458103,11838.06639924581
haircare,SKU74,3.170011414,64,904,5709.945296,Female,41,6,1,5,Carrier A,5.23765465,Supplier 4,Delhi,1,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568,1206.6511761493016,190.1578291840754,6984.045026666885,904.0,2069.6511761493016,6630.651176149302
skincare,SKU75,92.99688423,29,106,1889.07359,Non-binary,16,20,56,10,Carrier C,2.473897761,Supplier 1,Chennai,25,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648,2203.0335607237075,65.11528238439882,11340.744215540532,106.0,2293.0335607237075,4323.0335607237075
haircare,SKU76,69.10879955,23,241,5328.375984,Male,38,1,22,10,Carrier A,7.054538337,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501,492.61327984916204,98.18350166906862,2953.983907591153,241.0,695.613279849162,733.613279849162
haircare,SKU77,57.44974296,14,359,2483.760178,Unknown,96,28,57,4,Carrier B,6.780946626,Supplier 1,Kolkata,26,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989,2606.664462017497,119.83321743156193,13632.488397245295,359.0,2869.664462017497,12658.664462017497
haircare,SKU78,6.306883176,50,946,1292.458418,Unknown,5,4,51,5,Carrier B,8.467049771,Supplier 5,Mumbai,25,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034,985.2265596983241,194.52506265260524,5898.758111754647,946.0,1926.226559698324,4769.226559698324
haircare,SKU79,57.05703122,56,198,7888.723268,Non-binary,31,25,20,1,Carrier B,6.496325364,Supplier 3,Bangalore,5,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193,2463.0663992458103,88.99438184514796,12760.303905454793,198.0,2630.0663992458103,7413.06639924581
skincare,SKU80,91.12831835,75,872,8651.672683,Unknown,39,14,41,2,Carrier C,2.833184679,Supplier 3,Chennai,8,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505,1843.190117370556,186.76188047886004,10149.75998924708,872.0,2676.190117370556,14051.190117370556
haircare,SKU81,72.81920693,9,774,4384.4134,Unknown,48,6,8,5,Carrier B,4.066277502,Supplier 3,Delhi,28,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359,1206.6511761493016,175.95453958338217,6913.028578663419,774.0,1932.6511761493016,5850.651176149302
skincare,SKU82,17.03493074,13,336,2943.381868,Unknown,42,19,72,1,Carrier A,4.708181874,Supplier 2,Mumbai,6,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556,2147.251505108619,115.9310139695155,11315.912595390671,336.0,2441.251505108619,8531.25150510862
haircare,SKU83,68.91124621,82,663,2411.754632,Unknown,65,24,7,8,Carrier B,4.949839578,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182,2413.302352298603,162.84962388657826,12880.759880925907,663.0,3011.302352298603,18325.302352298604
haircare,SKU84,89.10436729,99,618,2048.2901,Unknown,73,26,80,10,Carrier A,8.381615625,Supplier 5,Chennai,24,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006,2511.8447266058206,157.22595205626837,13345.353393310445,618.0,3056.8447266058206,18579.84472660582
cosmetics,SKU85,76.96299442,83,25,8684.613059,Female,15,18,66,2,Carrier C,8.249168705,Supplier 5,Chennai,4,211,2,69.92934552,Fail,1.374429,Road,Route B,842.68683,2089.9811441033335,31.622776601683793,10608.019603525086,25.0,2099.9811441033335,2539.9811441033335
skincare,SKU86,19.99817694,18,223,1229.591029,Unknown,32,14,22,6,Carrier B,1.45430531,Supplier 1,Mumbai,4,569,18,74.60897,Pass,2.051512931,Rail,Route A,264.2548898,1843.190117370556,94.44575162494075,9688.179344977483,223.0,2034.190117370556,4965.1901173705555
haircare,SKU87,80.41403665,24,79,5133.846701,Male,5,7,55,10,Carrier A,6.575803798,Supplier 3,Chennai,27,523,17,28.69699682,Fail,3.693737788,Sea,Route B,879.3592177,1303.3322310087485,56.213877290220786,6797.730541494846,79.0,1377.3322310087485,1856.3322310087485
cosmetics,SKU88,75.27040698,58,737,9444.742033,Male,60,18,85,7,Carrier A,3.801253133,Supplier 2,Mumbai,21,953,11,68.18491906,Pending,0.722204402,Sea,Route A,103.916248,2089.9811441033335,171.69740825067802,11308.392761770056,737.0,2766.9811441033335,15355.981144103334
cosmetics,SKU89,97.76008558,10,134,5924.682567,Unknown,90,1,27,8,Carrier B,9.929816245,Supplier 1,Kolkata,23,370,11,46.60387338,Pending,1.907665734,Rail,Route B,517.4999739,492.61327984916204,73.2120208708925,2829.126503600273,134.0,536.613279849162,626.613279849162
skincare,SKU90,13.8819135,56,320,9592.63357,Non-binary,66,18,96,7,Carrier B,7.674430708,Supplier 3,Bangalore,8,585,8,85.67596334,Pass,1.219382224,Rail,Route B,990.0784725,2089.9811441033335,113.13708498984761,11015.591145465905,320.0,2343.9811441033335,7849.9811441033335
cosmetics,SKU91,62.11196546,90,916,1935.206794,Male,98,22,85,7,Carrier B,7.471514084,Supplier 4,Delhi,5,207,28,39.7728825,Pending,0.626001858,Rail,Route B,996.778315,2310.561091302819,191.41577782408638,12509.884345634526,916.0,3128.561091302819,22462.561091302818
cosmetics,SKU92,47.71423308,44,276,2100.129755,Male,90,25,10,8,Carrier B,4.469500026,Supplier 2,Mumbai,4,671,29,62.6126904,Pass,0.333431825,Rail,Route B,230.0927825,2463.0663992458103,105.07140429250958,12840.689017691599,276.0,2649.0663992458103,9363.06639924581
haircare,SKU93,69.290831,88,114,4531.402134,Unknown,63,17,66,1,Carrier C,7.006432059,Supplier 4,Chennai,21,824,20,35.63365234,Fail,4.165781795,Air,Route A,823.5238459,2031.096585400047,67.52777206453653,10493.121787322918,114.0,2082.096585400047,3969.096585400047
cosmetics,SKU94,3.037688725,97,987,7888.356547,Unknown,77,26,72,9,Carrier B,6.942945942,Supplier 2,Delhi,12,908,14,60.38737861,Pass,1.463607498,Rail,Route B,846.665257,2511.8447266058206,198.69574731231668,13552.702369590686,987.0,3421.8447266058206,28173.84472660582
